id,title,description,incident_type,severity,status,date,created_at,reported_by
1,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Medium,in_progress,2024-01-02,2024-01-02 00:00:00,analyst1
2,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,High,resolved,2024-01-03,2024-01-03 00:00:00,analyst2
3,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Critical,closed,2024-01-04,2024-01-04 00:00:00,soc_user
4,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,Low,open,2024-01-05,2024-01-05 00:00:00,admin
5,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Medium,in_progress,2024-01-06,2024-01-06 00:00:00,analyst1
6,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,High,resolved,2024-01-07,2024-01-07 00:00:00,analyst2
7,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Critical,closed,2024-01-08,2024-01-08 00:00:00,soc_user
8,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,Low,open,2024-01-09,2024-01-09 00:00:00,admin
9,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Medium,in_progress,2024-01-10,2024-01-10 00:00:00,analyst1
10,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,High,resolved,2024-01-11,2024-01-11 00:00:00,analyst2
11,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Critical,closed,2024-01-12,2024-01-12 00:00:00,soc_user
12,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,Low,open,2024-01-13,2024-01-13 00:00:00,admin
13,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Medium,in_progress,2024-01-14,2024-01-14 00:00:00,analyst1
14,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,High,resolved,2024-01-15,2024-01-15 00:00:00,analyst2
15,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Critical,closed,2024-01-16,2024-01-16 00:00:00,soc_user
16,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,Low,open,2024-01-17,2024-01-17 00:00:00,admin
17,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Medium,in_progress,2024-01-18,2024-01-18 00:00:00,analyst1
18,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,High,resolved,2024-01-19,2024-01-19 00:00:00,analyst2
19,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Critical,closed,2024-01-20,2024-01-20 00:00:00,soc_user
20,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,Low,open,2024-01-21,2024-01-21 00:00:00,admin
21,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Medium,in_progress,2024-01-22,2024-01-22 00:00:00,analyst1
22,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,High,resolved,2024-01-23,2024-01-23 00:00:00,analyst2
23,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Critical,closed,2024-01-24,2024-01-24 00:00:00,soc_user
24,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,Low,open,2024-01-25,2024-01-25 00:00:00,admin
25,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Medium,in_progress,2024-01-26,2024-01-26 00:00:00,analyst1
26,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,High,resolved,2024-01-27,2024-01-27 00:00:00,analyst2
27,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Critical,closed,2024-01-28,2024-01-28 00:00:00,soc_user
28,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,Low,open,2024-01-29,2024-01-29 00:00:00,admin
29,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Medium,in_progress,2024-01-30,2024-01-30 00:00:00,analyst1
30,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,High,resolved,2024-01-31,2024-01-31 00:00:00,analyst2
31,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Critical,closed,2024-02-01,2024-02-01 00:00:00,soc_user
32,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,Low,open,2024-02-02,2024-02-02 00:00:00,admin
33,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Medium,in_progress,2024-02-03,2024-02-03 00:00:00,analyst1
34,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,High,resolved,2024-02-04,2024-02-04 00:00:00,analyst2
35,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Critical,closed,2024-02-05,2024-02-05 00:00:00,soc_user
36,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,Low,open,2024-02-06,2024-02-06 00:00:00,admin
37,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Medium,in_progress,2024-02-07,2024-02-07 00:00:00,analyst1
38,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,High,resolved,2024-02-08,2024-02-08 00:00:00,analyst2
39,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Critical,closed,2024-02-09,2024-02-09 00:00:00,soc_user
40,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,Low,open,2024-02-10,2024-02-10 00:00:00,admin
41,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Medium,in_progress,2024-02-11,2024-02-11 00:00:00,analyst1
42,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,High,resolved,2024-02-12,2024-02-12 00:00:00,analyst2
43,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Critical,closed,2024-02-13,2024-02-13 00:00:00,soc_user
44,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,Low,open,2024-02-14,2024-02-14 00:00:00,admin
45,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Medium,in_progress,2024-02-15,2024-02-15 00:00:00,analyst1
46,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,High,resolved,2024-02-16,2024-02-16 00:00:00,analyst2
47,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Critical,closed,2024-02-17,2024-02-17 00:00:00,soc_user
48,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,Low,open,2024-02-18,2024-02-18 00:00:00,admin
49,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Medium,in_progress,2024-02-19,2024-02-19 00:00:00,analyst1
50,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,High,resolved,2024-02-20,2024-02-20 00:00:00,analyst2
51,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Critical,closed,2024-02-21,2024-02-21 00:00:00,soc_user
52,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,Low,open,2024-02-22,2024-02-22 00:00:00,admin
53,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Medium,in_progress,2024-02-23,2024-02-23 00:00:00,analyst1
54,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,High,resolved,2024-02-24,2024-02-24 00:00:00,analyst2
55,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Critical,closed,2024-02-25,2024-02-25 00:00:00,soc_user
